Settore storico pe;Insegna;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Forma commercio;Forma commercio prev;Forma vendita;Superficie somministrazione
"BAR CAFF�;Bar gastronomici e simili";;"PZA DELLA SCIENZA N. 2 c/o univ.degli studi di milano; (z.d. 9)";PZA;DELLA SCIENZA;2;1753;9;;;;178
"BAR CAFF�;Bar gastronomici e simili;BAR CAFF� E SIMILI";c/o provincia di milano;"VLE JENNER EDOARDO num.024/a c/o provincia di milano; isolato:087; accesso: accesso interno; (z.d. 9)";VIA;TUCIDIDE;56;3251;3;solo somministrazione;somministrazione;al banco;54
"BAR CAFF�;Bar gastronomici e simili;BAR CAFF� E SIMILI";int.polo mozart (associaz;"VIA MOZART WOLFANGO num.016/bis c/o istituto dei ciechi di mil; accesso: accesso interno; (z.d. 1)";VIA;MOZART WOLFANGO;;3039;1;solo somministrazione;somministrazione;self service;79
"BAR CAFF�;Bar gastronomici e simili;Mensa;Tav.calde,self service,fast f.";;"VIA LA MASA GIUSEPPE N. 19 c/o istituto mario negri; (z.d. 9)";VIA;LA MASA GIUSEPPE;19;7286;9;;;;529
"BAR CAFF�;Bar gastronomici e simili;Mensa;Tav.calde,self service,fast f.";fondaz.centro s.raffaele;"VIA OLGETTINA N. 58 c/o ospedale s.raffaele-tendos; (z.d. 3)";VIA;OLGETTINA;58;2530;3;solo somministrazione;somministrazione;self service;599
"BAR CAFF�;Bar gastronomici e simili;Mensa;Tav.calde,self service,fast f.";isu universita studi mila;"VIA SANTA SOFIA N. 9 c/o universit? degli studi di;via santa sofia 009; isolato:272; accesso: accesso interno; (z.d. 1)";VIA;SANTA SOFIA;9;408;1;solo somministrazione;somministrazione;self service;274
"BAR CAFF�;Biliardo;Carte;Bocce";;"VIA BRIOSCHI FRANCESCO N. 36 c/o parrocchia; isolato:163; accesso: accesso interno; (z.d. 5)";VIA;BRIOSCHI FRANCESCO;36;5243;5;somministrazione/minuto;somministrazione;al banco;65
"BAR CAFF�;Carte";;"VIA SAN BARNABA N. 30 ; isolato:202; accesso: accesso interno; (z.d. 1)";VIA;SAN BARNABA;30;3010;1;solo somministrazione;somministrazione;al banco;104
"BAR CAFF�;Carte";;"VLE AFFORI N. 21 c/o a.n.c.r. sez. affori; isolato:144; accesso: accesso interno; (z.d. 9)";VLE;AFFORI;21;1545;9;solo somministrazione;somministrazione;misto;26
"BAR CAFF�;Carte";;"VLO DE CASTILLIA GAETANO N. 4 ; isolato:294; accesso: accesso interno; (z.d. 9)";VLO;DE CASTILLIA GAETANO;4;1124;9;solo somministrazione;somministrazione;misto;45
"BAR CAFF�;Carte;Biliardo;Bocce;Tavola fredda";;"PZA GASPARRI PIETRO N. 11 c/o parrocchia; isolato:030; accesso: accesso interno; (z.d. 9)";PZA;GASPARRI PIETRO;11;1647;9;solo somministrazione;somministrazione;misto;95
"BAR CAFF�;Carte;Bocce";;"VIA AMPOLA N. 11 c/o cral boehringer; isolato:044; accesso: accesso esterno; (z.d. 5)";VIA;AMPOLA;11;4132;5;solo somministrazione;somministrazione;al banco;264
"BAR CAFF�;Carte;Bocce;Biliardo";;"VIA CADAMOSTO ALVISE num.002/a c/o a.n.c.r. sez. venezia-nuov; isolato:110; accesso: accesso interno; (z.d. 3)";VIA;CADAMOSTO ALVISE;;2152;3;solo somministrazione;somministrazione;al banco;81
"BAR CAFF�;Carte;Bocce;Tavola fredda";;"VIA ARISTOTELE N. 2 c/o parrocchia s. teresa del b; isolato:152; accesso: accesso interno; (z.d. 2)";VIA;ARISTOTELE;2;2488;2;solo somministrazione;somministrazione;misto;41
"BAR CAFF�;Carte;Tavola fredda";;"VIA BOSCOVICH RUGGERO N. 38 c/o circolo sordomuti; isolato:074; accesso: accesso interno; (z.d. 3)";VIA;BOSCOVICH RUGGERO;38;2131;3;solo somministrazione;somministrazione;misto;120
"BAR CAFF�;Carte;Tavola fredda";;"VLE MOLISE num.005/17 c/o bar gruppo anziani molise; isolato:104; accesso: accesso interno; (z.d. 4)";VLE;MOLISE;;3178;4;solo somministrazione;somministrazione;al banco;14
"BAR CAFF�;Cibi cotti";;"VIA DE CASTILLIA GAETANO N. 21 c/o circolo uri; isolato:283; accesso: accesso interno; (z.d. 9)";VIA;DE CASTILLIA GAETANO;21;1123;9;solo somministrazione;somministrazione;al banco;205
"BAR CAFF�;Cibi cotti";;"VIA MONTE DI PIETA' N. 1 c/o circolo ambrosiano;via monte di pieta' 001; isolato:304; (z.d. 1)";VIA;MONTE DI PIETA';1;121;1;;;;106
"BAR CAFF�;Cibi cotti preconfezionati";;"VIA BONFADINI ROMUALDO num.217 ; isolato:153; accesso: accesso esterno; (z.d. 4)";VIA;BONFADINI ROMUALDO;;3341;4;solo somministrazione;somministrazione;misto;84
"BAR CAFF�;Cibi cotti preconfezionati";;"VIA CEVEDALE N. 5 c/o trinity skatepark; (z.d. 9)";VIA;CEVEDALE;5;1087;9;;;;48
"BAR CAFF�;Cibi cotti preconfezionati";;"VIA DALMAZIA N. 11 c/o parrocchia s. nicolao; isolato:039; accesso: accesso interno; (z.d. 4)";VIA;DALMAZIA;11;3363;4;solo somministrazione;somministrazione;al banco;171
"BAR CAFF�;Cibi cotti preconfezionati";;"VIA LOMBROSO CESARE N. 54 int.ortomercato padiglione c; isolato:091; accesso: accesso interno; (z.d. 4)";VIA;LOMBROSO CESARE;54;3334;4;solo somministrazione;somministrazione;al banco;84
"BAR CAFF�;Cibi cotti preconfezionati";c/o c.a.p.a.c.;"VLE MURILLO S.B. N. 17 c/o c.a.p.a.c.; isolato:252; accesso: accesso interno; (z.d. 7)";VLE;MURILLO S.B.;17;6551;7;solo somministrazione;somministrazione;al banco;77
"BAR CAFF�;Cibi cotti preconfezionati;Bar gastronomici e simili;Tavola fredda;Genere Merceol.Autorizz.Sanit.";;"VIA FILODRAMMATICI N. 2 c/o circ. aziend. teatro scala;via filodrammatici 002; isolato:366; accesso: accesso interno; (z.d. 1)";VIA;FILODRAMMATICI;2;113;1;solo somministrazione;somministrazione;misto;87
"BAR CAFF�;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili";bar caffetteria tav.fredd;"VIA LOMBROSO CESARE N. 54 int.ortomercato chiosco d; isolato:091; accesso: accesso interno; (z.d. 4)";VIA;LOMBROSO CESARE;54;3334;4;solo somministrazione;somministrazione;al banco;40
"BAR CAFF�;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili";bar tavola fredda;"codvia 9112 mm-duomo (; isolato:997; accesso: accesso interno; (z.d. 1)";VIA;ANASSAGORA;11;2531;2;solo somministrazione;somministrazione;al banco;79
"BAR CAFF�;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;Tavola fredda;Bar gastronomici e simili";raganella;"codvia 7104 interno parco sempione; accesso: accesso esterno; (z.d. 1)";VLE;ZARA;81;1170;9;solo somministrazione;somministrazione;al banco;27
"BAR CAFF�;Cibi cotti preconfezionati;Tavola fredda";;VIA BORSIERI PIETRO N. 2 intenro circolo arci (z.d. 9);VIA;BORSIERI PIETRO;2;1128;9;;;;20
"BAR CAFF�;Cibi cotti preconfezionati;Tavola fredda";;"VIA CORSICO N. 3 c/o circolo amadeus; isolato:057; (z.d. 6)";VIA;CORSICO;3;5157;6;;;;68
"BAR CAFF�;Cibi cotti preconfezionati;Tavola fredda";bar picchio cocktail pan.;"codvia 9119 mm1 amendo; accesso: area ap.rec.; (z.d. 7)";VIA;PIER LOMBARDO;20;4073;4;solo somministrazione;somministrazione;al banco;53
"BAR CAFF�;Cibi cotti preconfezionati;Tavola fredda";circolo chico mendes;"VIA OLLEARO ULDERICO N. 5 ; isolato:292; accesso: accesso interno; (z.d. 8)";VIA;OLLEARO ULDERICO;5;7254;8;solo somministrazione;somministrazione;al banco;100
"BAR CAFF�;Discoteche,sale ballo notturni;Sale da ballo, locali notturni";apollo;"VIA PROCACCINI GIULIO CESARE N. 17 ; isolato:064; accesso: accesso esterno; (z.d. 8)";VIA;PROCACCINI GIULIO CESARE;17;7204;8;solo somministrazione;somministrazione;al banco;10
"BAR CAFF�;Elettr.Automatici Meccaniche";;"VIA MOTTARONE N. 3 c/o circolo aics maffioli; isolato:288; accesso: accesso esterno; (z.d. 8)";VIA;MOTTARONE;3;7303;8;solo somministrazione;somministrazione;al banco;20
"BAR CAFF�;Elettr.Automatici Meccaniche";;"VLE LOMBARDIA N. 65 c/o circolo arci; isolato:007; accesso: accesso esterno; (z.d. 3)";VLE;LOMBARDIA;65;2400;3;solo somministrazione;somministrazione;misto;180
"BAR CAFF�;Elettr.Automatici Meccaniche;Cibi cotti preconfezionati";;"VIA CALDERA num.089 circolo aics quinto romano; isolato:026; (z.d. 7)";VIA;BRUSUGLIO;;1550;9;;;;110
"BAR CAFF�;Elettr.Automatici Meccaniche;Tavola fredda";interno sezione tiro naz.;"VLE PAPA ACHILLE num.022/b sezione tiro a segno nazionale; isolato:232; accesso: accesso interno; (z.d. 8)";VLE;PAPA ACHILLE;;6469;8;solo somministrazione;somministrazione;misto;259
BAR CAFF� E SIMILI;;"codvia 9112 mm1 duomo; (z.d. 1)";VIA;LESSONA MICHELE;21;7490;8;;;;50
BAR CAFF� E SIMILI;;"codvia 9401 ff central; (z.d. 2)";VIA;BAZZI CARLO;68;4222;5;;;;27
BAR CAFF� E SIMILI;;"codvia 9401 ff central; (z.d. 2)";VLE;CORSICA;;3262;4;;;;14
BAR CAFF� E SIMILI;;"codvia 9401 ff central; (z.d. 2)";VLE;MUGELLO;;3140;4;;;;130
BAR CAFF� E SIMILI;;"PZA SIGMUND FREUD N. 1 int. stazione porta garibaldi; (z.d. 9)";PZA;SIGMUND FREUD;1;1705;9;;;;208
BAR CAFF� E SIMILI;;"VIA ANTONINI GIACOMO N. 35 c/o distributore carburanti; isolato:095; accesso: accesso esterno; (z.d. 5)";VIA;ANTONINI GIACOMO;35;4250;5;solo somministrazione;somministrazione;al banco;47
BAR CAFF� E SIMILI;;"VIA ISERNIA N. 5 int. mercato comunale coperto; (z.d. 8)";VIA;ISERNIA;5;6461;8;;;;43
BAR CAFF� E SIMILI;;"VLE CERTOSA N. 223 int. sala videolotterie; (z.d. 8)";VLE;CERTOSA;223;7174;8;;;;
BAR CAFF� E SIMILI;;"VLE SARCA N. 205 int.centro sportivo pro patria; (z.d. 9)";VLE;SARCA;205;1427;9;;;;82
"BAR CAFF� E SIMILI;BAR CAFF�";;"CSO VENEZIA num.002/a int.teatro s.babila; isolato:190; (z.d. 1)";VIA;SAN PIETRO ALL'ORTO;9;213;1;;;;143
"BAR CAFF� E SIMILI;BAR CAFF�";;"VIA OXILIA NINO N. 10 c/o parrocchia s. maria beltra; isolato:327; (z.d. 2)";VIA;OXILIA NINO;10;2287;2;;;;47
"BAR CAFF� E SIMILI;BAR CAFF�";istituto auxologico itali;"VIA BIANCHI MOSE' N. 90 c/o istituto auxologico italia; (z.d. 7)";VIA;BIANCHI MOSE';90;6385;7;solo somministrazione;;;63
"BAR CAFF� E SIMILI;BAR CAFF�";provincia milano;"VLE PICENO N. 60 c/o provincia di milano; isolato:209; (z.d. 4)";VLE;PICENO;60;3114;4;;;;126
"BAR CAFF� E SIMILI;BAR CAFF�;Bar pasticc.gelat.crem.creper.";istituto kandisky;"VIA BARONI COSTANTINO N. 35 c/o i.p.c.s. kandisky; isolato:098; (z.d. 5)";VIA;BARONI COSTANTINO;35;5422;5;solo somministrazione;somministrazione;misto;8
"BAR CAFF� E SIMILI;BAR CAFF�;Genere Merceol.Autorizz.Sanit.";bar int.cinema multisala;"VIA CHIESE N. 60 con ingresso in viale sarca; accesso: accesso interno; (z.d. 9)";VIA;CHIESE;60;1627;9;solo somministrazione;somministrazione;al banco;240
"BAR CAFF� E SIMILI;BAR CAFF�;Ristorante, trattoria, osteria;Sale da ballo, locali notturni;Ristorante;Discoteche,sale ballo notturni;Disco-piano-americ.bar serali;Genere Merceol.Autorizz.Sanit.";el maroco;"VIA BARACCHINI FLAVIO N. 1 (int. night club);via baracchini flavio 001; isolato:422; accesso: accesso esterno; (z.d. 1)";VIA;BARACCHINI FLAVIO;1;356;1;solo somministrazione;somministrazione;misto;158
"BAR CAFF� E SIMILI;BAR CAFF�;Tavola fredda";;"VIA SAINT BON SIMONE N. 20 c/o centro diagnostico italian; isolato:186; accesso: accesso interno; (z.d. 7)";VIA;SAINT BON SIMONE;20;6670;7;solo somministrazione;somministrazione;self service;88
"BAR CAFF� E SIMILI;Bar gastronomici e simili";;"VLE MONZA N. 285 c/o impianto distr. carburanti; (z.d. 2)";VLE;MONZA;285;2274;2;;;;25
"BAR CAFF� E SIMILI;Bar gastronomici e simili;BAR CAFF�;Cibi cotti preconfezionati;Genere Merceol.Autorizz.Sanit.;Tavola fredda";;"codvia 9401 ff central; accesso: accesso interno; (z.d. 2)";VIA;GIOIA MELCHIORRE;45;1108;2;solo somministrazione;somministrazione;al banco;100
"BAR CAFF� E SIMILI;Cibi cotti preconfezionati;Bar gastronomici e simili;BAR CAFF�";pasticceria bar lima;"codvia 9108 mm1 lima; accesso: accesso interno; (z.d. 3)";VIA;MECENATE;86;3323;4;solo somministrazione;somministrazione;al banco;104
"BAR CAFF� E SIMILI;Cibi cotti preconfezionati;Bar gastronomici e simili;BAR CAFF�;Genere Merceol.Autorizz.Sanit.";pretty bar;"VLE MONZA N. 222 (interno mm1-precotto);ingresso via 9102 num.000; isolato:998; accesso: accesso interno; (z.d. 2)";VLE;MONZA;222;2274;2;solo somministrazione;somministrazione;al banco;41
"BAR CAFF� E SIMILI;Cibi cotti preconfezionati;Giochi Legge 388/2000;Bar gastronomici e simili;BAR CAFF�;Tavola fredda";bar buonarroti;"codvia 9118 mm1 buonar; isolato:998; accesso: accesso interno; (z.d. 7)";VIA;MECENATE;86;3323;4;somministrazione/minuto;somministrazione;misto;40
"BAR CAFF� E SIMILI;Cibi cotti preconfezionati;Tavola fredda;BAR CAFF�;Bar gastronomici e simili;Genere Merceol.Autorizz.Sanit.";;"VIA CADOLINI GIOVANNI N. 19 interno teatro franco parenti; (z.d. 4)";VIA;CADOLINI GIOVANNI;19;4098;4;;;;9
"BAR CAFF� E SIMILI;Discoteche,sale ballo notturni;BAR CAFF�;Tavola fredda;Genere Merceol.Autorizz.Sanit.";discoteca peep show;"VIA CARDUCCI GIOSUE' N. 25 ;via carducci giosue' 025; isolato:282; accesso: accesso esterno; (z.d. 1)";VIA;CARDUCCI GIOSUE';25;602;1;;somministrazione;misto;220
"BAR CAFF� E SIMILI;Elettr.Automatici Meccaniche";il faro;"PZA VENTIQUATTRO MAGGIO N. 1 int. m.c.c. ticinese; isolato:052; accesso: accesso interno; (z.d. 5)";PZA;VENTIQUATTRO MAGGIO;1;5200;5;solo somministrazione;somministrazione;al banco;16
"BAR CAFF� E SIMILI;Genere Merceol.Autorizz.Sanit.;BAR CAFF�;Tavola fredda";;"VIA LOMBROSO CESARE N. 54 int. ortomercato pad. a; (z.d. 4)";VIA;LOMBROSO CESARE;54;3334;4;;;;59
"BAR CAFF� E SIMILI;Genere Merceol.Autorizz.Sanit.;BAR CAFF�;Tavola fredda";dhsv scuola germanica;"VIA LEGNANO N. 24 c/o dhsv scuola germanica; isolato:081; (z.d. 1)";VIA;LEGNANO;24;7082;1;;;;200
"BAR CAFF� E SIMILI;Genere Merceol.Autorizz.Sanit.;BAR CAFF�;Tavola fredda;Bar gastronomici e simili";bar caffe;"codvia 9206 mm2 piola; isolato:999; accesso: accesso interno; (z.d. 3)";PZA;DEL TRICOLORE;4;3047;1;solo somministrazione;somministrazione;al banco;46
"BAR CAFF� E SIMILI;Mensa";nuova accad. belle arti;"VIA DARWIN CARLO ROBERTO N. 20 c/o scuola formazione; isolato:080; (z.d. 6)";VIA;DARWIN CARLO ROBERTO;20;5238;6;solo somministrazione;;;
"BAR CAFF� E SIMILI;Mensa;Tav.calde,self service,fast f.";c/o prada spa;"VIA BERGAMO N. 21 c/o prada s.p.a.; isolato:097; accesso: accesso interno; (z.d. 4)";VIA;BERGAMO;21;3189;4;solo somministrazione;somministrazione;self service;254
"BAR CAFF� E SIMILI;Mensa;Tav.calde,self service,fast f.;BAR CAFF�";banca nazionale del lavor;"VIA DERUTA N. 19 c/o banca nazionale del lavoro; isolato:053; (z.d. 3)";VIA;DERUTA;19;2539;3;;;;
"BAR CAFF� E SIMILI;Prodotti di gastronomia;Bar gastronomici e simili;BAR CAFF�;Genere Merceol.Autorizz.Sanit.";bar centrale frau;"VIA QUARENGHI GIACOMO N. 23 int.centro commerciale bonola; isolato:300; accesso: accesso interno; (z.d. 8)";VIA;QUARENGHI GIACOMO;23;7478;8;solo somministrazione;somministrazione;misto;62
"BAR CAFF� E SIMILI;Ristorante, trattoria, osteria";;"CSO LODI N. 51 ; isolato:182; accesso: accesso esterno; (z.d. 4)";CSO;LODI;51;4068;4;solo somministrazione;somministrazione;al banco;116
"BAR CAFF� E SIMILI;Spaccio bevande analcoliche";;"VIA MASCAGNI PIETRO N. 8 int. cinema arti; isolato:193; accesso: accesso interno; (z.d. 1)";VIA;MASCAGNI PIETRO;8;3155;1;solo somministrazione;somministrazione;al banco;158
"BAR CAFF� E SIMILI;Spaccio bevande analcoliche;Tavola fredda";;"VIA PAPA GREGORIO XIV num.001 c/o scuola;via san vito 003; isolato:332; (z.d. 1)";VIA;PAPA GREGORIO XIV;;580;1;;;;36
"BAR CAFF� E SIMILI;Spaccio bevande analcoliche;Tavola fredda";i.t.i. feltrinelli;"PZA CARO TITO LUCREZIO N. 8 c/o i.t.i. feltrinelli; isolato:116; accesso: accesso interno; (z.d. 5)";PZA;CARO TITO LUCREZIO;8;5208;5;somministrazione/minuto;somministrazione;al banco;100
"BAR CAFF� E SIMILI;Tav.calde,self service,fast f.";;"codvia 9401 ff central; (z.d. 2)";VIA;OGLIO;;4105;4;;;;
"BAR CAFF� E SIMILI;Tavola fredda;BAR CAFF�";;"codvia 9220 mm2 abbiat; (z.d. 5)";VIA;MONTE ROSA;91;6388;7;;;;90
"BAR CAFF� E SIMILI;Tavola fredda;BAR CAFF�";;"VIA PAREA CARLO N. 13 int. mercato comunale coperto; (z.d. 4)";VIA;PAREA CARLO;13;3344;4;;;;30
"BAR CAFF� E SIMILI;Tavola fredda;BAR CAFF�;Genere Merceol.Autorizz.Sanit.";c/o istituto marelli;"VIA LIVIGNO N. 11 c/o i.p.i.a. ercole marelli; isolato:066; accesso: accesso interno; (z.d. 9)";VIA;LIVIGNO;11;1296;9;solo somministrazione;somministrazione;al banco;48
"BAR CAFF� E SIMILI;Tavola fredda;Genere Merceol.Autorizz.Sanit.;BAR CAFF�";;"codvia 9201 mm2 cascin; isolato:999; accesso: accesso interno; (z.d. 2)";VLE;RICHARD GIULIO;5;5374;6;solo somministrazione;somministrazione;al banco;25
"BAR CAFF� E SIMILI;Wine,birr.,pub enot.,caff.,the;Bar gastronomici e simili;BAR CAFF�;Bar pasticc.gelat.crem.creper.;Genere Merceol.Autorizz.Sanit.";;"VIA SANTA RADEGONDA N. 3 interno la rinascente;pza del duomo 000; accesso: accesso esterno; (z.d. 1)";VIA;SANTA RADEGONDA;3;208;1;solo somministrazione;somministrazione;al banco;76
"BAR CAFF� E SIMILI;Wine,birr.,pub enot.,caff.,the;Prodotti di gastronomia;Disco-piano-americ.bar serali;Seconda bottiglia;Ristorante, trattoria, osteria;Tav.calde,self service,fast f.;Sale da ballo, locali notturni;BAR CAFF�;Discoteche,sale ballo notturni";la tour d orient night c.;"VIA FILZI FABIO N. 41 ; isolato:242; accesso: accesso esterno; (z.d. 2)";VIA;FILZI FABIO;41;1190;2;solo somministrazione;somministrazione;misto;132
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";;"CSO DI PORTA ROMANA N. 63 interno teatro carcano;cso di porta romana 063; isolato:115; accesso: accesso interno; (z.d. 1)";CSO;DI PORTA ROMANA;63;402;1;solo somministrazione;somministrazione;al banco;11
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";;"CSO VERCELLI N. 18 interno multisala gloria; isolato:216; accesso: accesso interno; (z.d. 7)";CSO;VERCELLI;18;6193;7;solo somministrazione;somministrazione;al banco;44
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";;"LGO AUGUSTO N. 1 interno cinema;lgo augusto 001; isolato:319; accesso: accesso interno; (z.d. 1)";LGO;AUGUSTO;1;315;1;solo somministrazione;somministrazione;al banco;13
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";;"LGO QUINTO ALPINI N. 12 ass.intern.naturale arena club; isolato:075; (z.d. 1)";LGO;QUINTO ALPINI;12;6346;1;;;;20
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";;"VIA BRONI N. 10 circolo; isolato:109; (z.d. 5)";VIA;BRONI;10;4261;5;;;;116
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";;"VIA MERCALLI GIUSEPPE N. 30 c/o casa di cura capitanio; isolato:207; accesso: accesso interno; (z.d. 1)";VIA;MERCALLI GIUSEPPE;30;4011;1;solo somministrazione;somministrazione;self service;45
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";;"VIA MONFALCONE N. 34 ; isolato:040; (z.d. 3)";VIA;MONFALCONE;34;2538;3;;;;200
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";;"VIA MONTE PARALBA N. 15 c/o parrocchia; isolato:083; accesso: accesso interno; (z.d. 4)";VIA;MONTE PARALBA;15;4369;4;solo somministrazione;somministrazione;al banco;37
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";;"VLE SAN MICHELE DEL CARSO N. 20 circolo; isolato:260; (z.d. 7)";VLE;SAN MICHELE DEL CARSO;20;6212;7;;;;56
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";bar c/o campo sportivo;"VIA FALCK ENRICO N. 28 (presso campo sportivo); isolato:005; accesso: accesso interno; (z.d. 8)";VIA;FALCK ENRICO;28;7438;8;solo somministrazione;somministrazione;al banco;60
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";bar c/o istit.paolo frisi;"VIA OTRANTO N. 1 c/o i.p.s.i.a. frisi; isolato:090; accesso: accesso interno; (z.d. 8)";VIA;OTRANTO;1;7473;8;solo somministrazione;somministrazione;al banco;73
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";bar int.centro sportivo;"VIA ORSINI FELICE N. 84 interno centro sportivo; isolato:022; accesso: accesso interno; (z.d. 8)";VIA;ORSINI FELICE;84;7476;8;solo somministrazione;somministrazione;al banco;70
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";bar int.circolo arci gate;"VIA DEI VALTORTA N. 19 ; isolato:269; accesso: accesso interno; (z.d. 2)";VIA;DEI VALTORTA;19;2324;2;solo somministrazione;somministrazione;al banco;74
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";bar in tip.c;"VIA DE AMICIS EDMONDO N. 4 con ingr. da via dei fabbri;via de amicis edmondo 004; isolato:220; accesso: accesso esterno; (z.d. 1)";VIA;DE AMICIS EDMONDO;4;574;1;solo somministrazione;somministrazione;al banco;270
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";bar int.teatro grassi;"VIA ROVELLO N. 2 (interno teatro grassi);via rovello 002; isolato:377; accesso: accesso interno; (z.d. 1)";VIA;ROVELLO;2;722;1;solo somministrazione;somministrazione;al banco;6
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";c/0 rsa saccardo;"VIA SACCARDO PIETRO ANDREA N. 47 c/o residenze saccardo; isolato:117; accesso: accesso interno; (z.d. 3)";VIA;SACCARDO PIETRO ANDREA;47;2665;3;solo somministrazione;somministrazione;al banco;132
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";casa istruzione lombarda;"VIA RIPAMONTI GIUSEPPE N. 85 c/o c.s.a. istruzione lombardi; isolato:011; accesso: accesso interno; (z.d. 5)";VIA;RIPAMONTI GIUSEPPE;85;4066;5;solo somministrazione;somministrazione;self service;65
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";c/o fac.scienze politiche;"VIA CONSERVATORIO N. 7 c/o facolt? scienze politiche; isolato:193; accesso: accesso interno; (z.d. 1)";VIA;CONSERVATORIO;7;3031;1;solo somministrazione;somministrazione;al banco;119
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";c/o ist.schiaparelli-gram;"LGO SERENI VITTORIO N. 1 c/o i.t.c. schiapparelli grams; isolato:208; accesso: accesso interno; (z.d. 4)";LGO;SERENI VITTORIO;1;3384;4;solo somministrazione;somministrazione;al banco;44
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.";int.g.finanza nucleo reg.;"VIA FILZI FABIO N. 42 c/o comando nucleo regionale; isolato:247; accesso: accesso interno; (z.d. 2)";VIA;FILZI FABIO;42;1190;2;solo somministrazione;somministrazione;al banco;108
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.;BAR CAFF� E SIMILI;Tavola fredda";;"codvia 9101 mm1 villa; isolato:999; accesso: accesso interno; (z.d. 2)";VIA;CALDERA;21;6302;7;somministrazione/minuto;somministrazione;al banco;43
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili";;"VIA FILODRAMMATICI N. 2 interno teatro alla scala; (z.d. 1)";VIA;FILODRAMMATICI;2;113;1;;;;320
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili";;"VLE DELL' INNOVAZIONE num.000 int. teatro arcimboldi; (z.d. 9)";VLE;DELL' INNOVAZIONE;;1731;9;;;;312
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFF� E SIMILI";;"VLE ABRUZZI num.028/30 /30 interno cinema plinius; isolato:106; accesso: accesso esterno; (z.d. 3)";VLE;ABRUZZI;;2177;3;solo somministrazione;somministrazione;al banco;103
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Tavola fredda;Cibi cotti preconfezionati";bingo azzurro;"VIA LORENTEGGIO N. 208 interno sala bingo; isolato:090; accesso: accesso esterno; (z.d. 6)";VIA;LORENTEGGIO;208;5132;6;solo somministrazione;somministrazione;al tavolo;860
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati";;"VIA DEI VALTORTA N. 19 int. circolo depot; isolato:269; (z.d. 2)";VIA;DEI VALTORTA;19;2324;2;;;;78
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati";;"VIA SAN VITTORE N. 12 c/o bar ospedale s. giuseppe;via san vittore 012; isolato:284; accesso: accesso interno; (z.d. 1)";VIA;SAN VITTORE;12;647;1;solo somministrazione;somministrazione;al banco;85
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;Tavola fredda;Bar gastronomici e simili";bar tabacchi i ventagli;"VIA CANDIANI GIUSEPPE num.152 (int. stazione nord-bovisa); isolato:005; accesso: accesso interno; (z.d. 9)";VIA;CANDIANI GIUSEPPE;;1242;9;solo somministrazione;somministrazione;al banco;152
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.;Discoteche,sale ballo notturni;Sale da ballo, locali notturni;BAR CAFF� E SIMILI;Bar gastronomici e simili;Wine,birr.,pub enot.,caff.,the";indian;"CSO GARIBALDI GIUSEPPE num.097 /99; isolato:081; accesso: accesso esterno; (z.d. 1)";VIA;SOLFERINO;28;1028;1;solo somministrazione;somministrazione;misto;480
"BAR CAFF�;Genere Merceol.Autorizz.Sanit.;Giochi Legge 388/2000;Tavola fredda";bar lago verde;"VIA MACCONAGO num.032 int. podere equitazione-pesca; isolato:206; accesso: area ap.rec.; (z.d. 5)";VIA;MACCONAGO;;4298;5;solo somministrazione;somministrazione;al banco;36
